id,member_id,date,activity,status,remark
373,110,2025-12-24,กิจกรรมแถว,present,
374,111,2025-12-24,กิจกรรมแถว,present,
375,112,2025-12-24,กิจกรรมแถว,present,
376,113,2025-12-24,กิจกรรมแถว,present,
377,114,2025-12-24,กิจกรรมแถว,present,
378,115,2025-12-24,กิจกรรมแถว,absent,
379,116,2025-12-24,กิจกรรมแถว,present,
380,117,2025-12-24,กิจกรรมแถว,absent,
381,118,2025-12-24,กิจกรรมแถว,present,
382,119,2025-12-24,กิจกรรมแถว,present,
383,124,2025-12-24,กิจกรรมแถว,present,
384,125,2025-12-24,กิจกรรมแถว,absent,
385,2,2025-12-25,กิจกรรมแถว,present,
386,3,2025-12-25,กิจกรรมแถว,present,
387,4,2025-12-25,กิจกรรมแถว,present,
388,5,2025-12-25,กิจกรรมแถว,present,
389,6,2025-12-25,กิจกรรมแถว,present,
390,8,2025-12-25,กิจกรรมแถว,present,
391,9,2025-12-25,กิจกรรมแถว,present,
392,10,2025-12-25,กิจกรรมแถว,present,
393,11,2025-12-25,กิจกรรมแถว,present,
394,12,2025-12-25,กิจกรรมแถว,present,
395,13,2025-12-25,กิจกรรมแถว,present,
396,14,2025-12-25,กิจกรรมแถว,present,
397,15,2025-12-25,กิจกรรมแถว,present,
398,16,2025-12-25,กิจกรรมแถว,present,
399,17,2025-12-25,กิจกรรมแถว,absent,
400,18,2025-12-25,กิจกรรมแถว,present,
401,19,2025-12-25,กิจกรรมแถว,present,
402,21,2025-12-25,กิจกรรมแถว,present,
403,22,2025-12-25,กิจกรรมแถว,absent,
404,25,2025-12-25,กิจกรรมแถว,present,
405,26,2025-12-25,กิจกรรมแถว,present,
406,27,2025-12-25,กิจกรรมแถว,present,
407,28,2025-12-25,กิจกรรมแถว,present,
408,30,2025-12-25,กิจกรรมแถว,present,
409,31,2025-12-25,กิจกรรมแถว,present,
410,33,2025-12-25,กิจกรรมแถว,present,
411,34,2025-12-25,กิจกรรมแถว,present,
412,35,2025-12-25,กิจกรรมแถว,present,
413,36,2025-12-25,กิจกรรมแถว,present,
414,37,2025-12-25,กิจกรรมแถว,present,
415,38,2025-12-25,กิจกรรมแถว,present,
416,39,2025-12-25,กิจกรรมแถว,present,
417,43,2025-12-25,กิจกรรมแถว,present,
418,44,2025-12-25,กิจกรรมแถว,present,
419,46,2025-12-25,กิจกรรมแถว,absent,
420,47,2025-12-25,กิจกรรมแถว,present,
421,48,2025-12-25,กิจกรรมแถว,present,
422,49,2025-12-25,กิจกรรมแถว,present,
423,51,2025-12-25,กิจกรรมแถว,present,
424,54,2025-12-25,กิจกรรมแถว,present,
425,55,2025-12-25,กิจกรรมแถว,present,
426,56,2025-12-25,กิจกรรมแถว,present,
