id,member_id,date,activity,status,remark
2080,26,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2081,27,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2082,28,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2083,30,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2084,31,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2085,33,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2086,34,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2087,35,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2088,36,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2089,37,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2090,38,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2091,39,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2092,43,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2093,44,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2094,46,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2095,47,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2096,48,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2097,49,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2098,51,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2099,54,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2100,55,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2101,56,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2102,57,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2103,58,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2104,59,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2105,61,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2106,63,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2107,65,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2108,86,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2109,111,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2110,112,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2111,113,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,present,
2112,114,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2113,116,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2114,118,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2115,119,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2116,124,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
2117,125,2026-05-20,จิตอาสาแปะป้ายห้องเรียน,absent,
